gene,hgnc_id,in_universe,screen_outcome,era_hit
TBC1D3E,HGNC:27071,1,kept,
TBC1D3I,HGNC:32709,1,kept,
TBC1D3K,HGNC:51245,1,kept,
TBC1D3L,HGNC:51246,1,kept,
TBPL2,HGNC:19841,1,kept,
TCEAL6,HGNC:24553,1,kept,
TEKTIP1,HGNC:34496,1,kept,
TGIF2-RAB5IF,HGNC:44664,1,kept,
TLCD4-RWDD3,HGNC:49388,1,kept,
TMEM191B,HGNC:33600,1,kept,
TMEM233,HGNC:37219,1,kept,
TMEM240,HGNC:25186,1,kept,
TMEM249,HGNC:44155,1,kept,
TMIGD3,HGNC:51375,1,kept,
TNFRSF6B,HGNC:11921,1,kept,
TOPAZ1,HGNC:24746,1,kept,
TP53TG3,HGNC:30759,1,kept,
TP53TG3B,HGNC:37202,1,kept,
TP53TG3C,HGNC:42962,1,kept,
TP53TG3D,HGNC:44657,1,kept,
TP53TG3E,HGNC:51816,1,kept,
TP53TG3F,HGNC:51817,1,kept,
TRIM39-RPP21,HGNC:38845,1,kept,
TRIM43,HGNC:19015,1,kept,
TRIM49C,HGNC:38877,1,kept,
TRIM49D1,HGNC:43973,1,kept,
TRIM49D2,HGNC:37217,1,kept,
TRIM64,HGNC:14663,1,kept,
TRIM64B,HGNC:37147,1,kept,
TRIM64C,HGNC:37148,1,kept,
TRIM77,HGNC:34228,1,kept,
TSPAN19,HGNC:31886,1,kept,
TUBA3E,HGNC:20765,1,kept,
TUBB8,HGNC:20773,1,kept,
TVP23C,HGNC:30453,1,kept,
TVP23C-CDRT4,HGNC:42961,1,kept,
UGT1A1,HGNC:12530,1,kept,
UGT1A10,HGNC:12531,1,kept,
UGT1A3,HGNC:12535,1,kept,
UGT1A4,HGNC:12536,1,kept,
UGT1A5,HGNC:12537,1,kept,
UGT1A7,HGNC:12539,1,kept,
UGT1A8,HGNC:12540,1,kept,
UGT1A9,HGNC:12541,1,kept,
UGT2A1,HGNC:12542,1,kept,
UGT2A2,HGNC:28183,1,kept,
USP17L1,HGNC:37182,1,kept,
USP17L10,HGNC:44438,1,kept,
USP17L11,HGNC:44439,1,kept,
USP17L12,HGNC:44440,1,kept,
USP17L13,HGNC:44441,1,kept,
USP17L17,HGNC:44445,1,kept,
USP17L18,HGNC:44446,1,kept,
USP17L19,HGNC:44447,1,kept,
USP17L20,HGNC:44448,1,kept,
USP17L21,HGNC:44449,1,kept,
USP17L22,HGNC:44450,1,kept,
USP17L23,HGNC:44451,1,kept,
USP17L24,HGNC:44453,1,kept,
USP17L25,HGNC:44452,1,kept,
USP17L26,HGNC:44454,1,kept,
USP17L27,HGNC:44455,1,kept,
USP17L28,HGNC:44456,1,kept,
USP17L29,HGNC:44457,1,kept,
USP17L3,HGNC:37175,1,kept,
USP17L30,HGNC:44458,1,kept,
USP17L4,HGNC:37176,1,kept,
USP17L7,HGNC:37180,1,kept,
USP17L8,HGNC:37181,1,kept,
